i_min,Bcl-xL (1),Bcl-xL (2),Bcl-xL/Beclin-1 (1),Bcl-xL/Beclin-1 (2)
0.0,117,108,133,133
0.1,117,108,133,133
0.2,117,108,133,133
0.3,117,108,133,133
0.4,117,108,133,133
0.5,117,108,133,133
0.6,117,108,133,133
0.7,117,108,133,133
0.8,117,108,133,133
0.9,117,108,133,133
1.0,117,108,133,133
1.1,117,108,133,133
1.2,115,108,133,132
1.3,115,108,133,132
1.4,113,107,130,129
1.5,113,107,130,129
1.6,112,107,129,125
1.7,111,104,127,122
1.8,111,104,127,122
1.9,107,104,127,120
2.0,107,104,127,120
2.1,105,103,127,119
2.2,97,99,126,118
2.3,95,92,126,116
2.4,94,90,126,98
2.5,94,90,126,98
2.6,94,89,121,94
2.7,93,88,113,87
2.8,89,86,95,83
2.9,88,82,91,82
3.0,88,82,91,82
3.1,74,79,90,80
3.2,68,66,82,80
3.3,62,43,75,78
3.4,56,43,75,77
3.5,56,43,75,77
3.6,43,43,73,75
3.7,41,34,72,59
3.8,41,34,69,59
3.9,40,34,68,55
4.0,40,34,68,55
4.1,37,33,41,51
4.2,37,33,41,51
4.3,37,33,41,42
4.4,36,33,41,39
4.5,36,33,40,37
4.6,36,33,35,34
4.7,36,33,35,34
4.8,36,33,35,34
4.9,36,33,35,34
5.0,36,32,32,34
